country_code_1,country_code_2,capital_dist_meters,centroid_dist_meters
IQ,AU,13288510.82089251,11587207.211329458
IT,AU,16235492.620549593,14458004.433030665
JO,AU,13954424.909484848,12225956.942682061
JP,AU,7960909.829968293,6797814.447949647
KH,AU,6990748.473254237,5338442.016648092
KR,AU,8427911.2295002,6946456.875312087
KW,AU,12790024.84094759,11110022.115368681
KZ,AU,12237668.834538922,10511075.477474589
LT,AU,15279898.420488896,13596545.72079226
LV,AU,15329495.576863209,13531032.52897341
MA,AU,17838033.46697968,16070470.061204813
MK,AU,15498386.083964888,13700556.769755302
MX,AU,13191601.595614573,14280031.832352873
MY,AU,6535011.338870425,3907999.522136072
NL,AU,16647757.544953516,14826163.87952234
NO,AU,15996935.558627073,14261343.883243727
NZ,AU,2327656.057742822,4037876.903303548
OM,AU,11559300.185848113,9862706.58718953
PE,AU,12865559.348978937,14890352.759284766
PH,AU,6302378.198138204,4459393.453476857
PK,AU,11027310.257544003,9248972.791564014
PL,AU,15577798.16121478,13878129.486053169
PT,AU,18073975.257070553,16233185.048005568
QA,AU,12264309.179429637,10612052.642821962
RO,AU,15166473.319789758,13501666.766654845
RS,AU,15612049.571532307,13800167.93810345
RU,AU,14499717.610219393,9985563.5521149
SA,AU,12642258.11225471,11164074.229802266
SE,AU,15629777.805945037,14011347.515209863
SG,AU,6220461.779227581,4463894.993735214
SI,AU,16083681.575093692,14260270.030479966
SK,AU,15878737.217304228,13926203.726342468
TH,AU,7486060.996079615,5852598.035863764
TR,AU,14515482.728099639,12571089.448678102
TW,AU,7321648.404980176,5659670.947965838
UA,AU,14915129.274178095,13015203.306640223
US,AU,15964545.953143777,14822193.890350845
VN,AU,7758504.613471347,5448646.098545735
ZA,AU,10829043.59157631,10300916.850212919
AE,BA,3907685.7446833616,3973971.014736233
AR,BA,11679488.546742676,12001227.125237998
AT,BA,510614.2907216633,489548.5037812242
AU,BA,15771798.248063652,14054060.36260236
BA,BA,0,0
BE,BA,1310614.8165953485,1268614.4443735094
BG,BA,419869.6783119929,593808.618516013
BH,BA,3496480.390798764,3564429.6597948233
BR,BA,9439729.602508206,9462922.277434176
BY,BA,1303270.0612634344,1225660.777011767
CA,BA,6989132.415206125,6973026.719476243
CH,BA,921107.3542414341,823750.2526500169
CL,BA,12447618.50190468,12206122.388465207
CO,BA,9859644.805248054,9694899.285540838
CZ,BA,755383.8336429987,648819.0385896562
DE,BA,1033397.9440838803,974210.5053930035
DK,BA,1380384.5338194766,1420320.274812126
DZ,BA,1518466.7099164294,2239771.4568081894
EE,BA,1788244.565266491,1733209.6065952384
EG,BA,1910002.2199889605,2207819.322389249
ES,BA,1857157.030677596,1857528.7454580974
FI,BA,1869304.0094311002,2257895.7904557437
FR,BA,1349231.960667065,1256598.8793449842
GB,BA,1620073.4174775342,1913035.2099011648
GR,BA,793031.5773975921,679309.6405201537
HK,BA,8763488.160411647,NA
HR,BA,288636.6008079752,210914.31411364413
HU,BA,411045.56233217736,349489.2464088449
ID,BA,10370911.798380248,11376083.30692501
IE,BA,2082690.2401963572,2119708.313350314
IL,BA,1992414.4477776783,2047497.9467165857
IN,BA,5427707.05984767,6043773.314289886
IQ,BA,2536923.063602469,2581267.927977763
IT,BA,526847.0166258928,433096.4717331481
JO,BA,2024888.0043448908,2168196.0771803665
JP,BA,9387462.79993588,9258325.018113775
KH,BA,8854121.810157208,8789953.60325152
KR,BA,8473738.248770602,8555473.675480882
KW,BA,3072268.383861823,3102972.972673528
KZ,BA,3983383.5737631475,3824145.184494755
LT,BA,1305859.5091338335,1378713.5246708253
LV,BA,1515084.306080101,1504873.9661060583
MA,BA,2429224.231844276,2407052.104600392
MK,BA,325309.4377919926,432671.9473192068
MX,BA,10553771.13192497,10372084.798150318
MY,BA,9239808.336271157,10195991.740347093
NL,BA,1376075.2530246074,1278077.6760728199
NO,BA,1860170.5978483732,2040549.078144361
NZ,BA,18088366.719374117,18091936.40437312
OM,BA,4287234.774537652,4427992.882868693
PE,BA,11378630.665201785,11097524.80105692
PH,BA,9873587.69764226,10107083.029499216
PK,BA,4786596.285166005,4805089.192946828
PL,BA,956410.553154671,877512.1137413057
PT,BA,2359867.5759362876,2195650.911607517
QA,BA,3633717.0920186793,3657335.900765556
RO,BA,619930.195248012,595390.2312842415
RS,BA,200962.4360710878,254550.40555602085
RU,BA,1902549.5440898961,5479473.563700094
SA,BA,3345672.443536269,3256411.447876437
SE,BA,1723354.3798421745,1984503.4344968386
SG,BA,9554908.867728578,9591029.775499795
SI,BA,391667.12149441853,305323.0986889006
SK,BA,489406.27611468587,507967.00343001436
TH,BA,8338045.860364558,8242526.909167575
TR,BA,1273961.428670068,1529824.147624851
TW,BA,9089246.462450592,9156609.234025855
UA,BA,1172893.7690175057,1202709.9460154623
US,BA,7516571.766057853,8719991.535125189
VN,BA,8219059.794347196,8771630.53378228
ZA,BA,7810532.511217902,8307122.905265263
AE,BE,5157902.4249826465,5195094.4902239265
AR,BE,11315529.352724986,11547547.337041954
AT,BE,915989.0064066285,783305.8646434498
AU,BE,16739786.611091634,14992917.632273003
BA,BE,1310614.8165953485,1268614.4443735094
BE,BE,0,0
BG,BE,1700125.488675399,1810327.3418553753
BH,BE,4759334.604550392,4793549.00647968
BR,BE,8984996.016198462,8827331.054575933
BY,BE,1607238.6713046404,1657464.2772013943
CA,BE,5680854.7208010405,5780983.459696188
CH,BE,488124.4473558771,517243.57836183644
CL,BE,11900717.314093126,11604651.013748432
CO,BE,8806273.110779958,8692101.346899863
CZ,BE,720117.9020201486,790792.6714623559
DE,BE,651938.7947433831,459593.16382618586
DK,BE,768863.4624450334,698909.5212347463
DZ,BE,1568515.1627701616,2543190.6225712243
EE,BE,1603356.5557224774,1663692.7210072696
EG,BE,3213047.0233303937,3443407.6554969735
ES,BE,1315253.093715175,1356475.9988723886
FI,BE,1652248.8367551202,1951601.7640960948
FR,BE,261700.98508163664,557909.6528114681
GB,BE,318517.2731659904,646942.2649891688
GR,BE,2092032.1128529715,1926586.4431890042
HK,BE,9407031.126095967,NA
HR,BE,1025861.7444612498,1061846.593795227
HU,BE,1133056.7653195348,1242777.9939100705
ID,BE,11429424.950457083,12254410.83051267
IE,BE,774547.1774841298,857353.8487555668
IL,BE,3300497.858306168,3315624.6578286667
IN,BE,6423741.549369569,7122171.166846012
IQ,BE,3778458.0278380844,3796358.3559877626
IT,BE,1174979.027346994,1114410.2195054397
JO,BE,3330546.600663915,3435339.630797339
JP,BE,9466570.466843069,9374898.064626444
KH,BE,9752248.144427434,9655098.289110504
KR,BE,8718847.092957864,8811207.351248858
KW,BE,4327443.759494438,4324020.284379226
KZ,BE,4533980.724487001,4498388.197245952
LT,BE,1468432.0174704313,1439538.1908817173
LV,BE,1460148.859283606,1529987.996265612
MA,BE,2078854.800689076,2223128.506731373
MK,BE,1635549.0065400063,1700793.0527864269
MX,BE,9256987.169768777,9105534.359862415
MY,BE,10262915.868860884,11084993.200152582
NL,BE,175749.18420571627,221393.17823203315
NO,BE,1088109.5456367554,1295472.596925483
NZ,BE,18745812.26420905,18792488.443755355
OM,BE,5514338.307361938,5649551.730228001
PE,BE,10462647.916815346,10188593.832141144
PH,BE,10519021.62909703,10750664.620382747
PK,BE,5745585.9181362605,5833296.549380039
PL,BE,1163696.3763246292,1116056.138997855
PT,BE,1712029.9440565289,1570157.06811529
QA,BE,4897006.9313338855,4885251.724888643
RO,BE,1772701.7420435925,1635493.4840060754
RS,BE,1376536.3595350375,1484260.2539957836
RU,BE,2258071.377883713,5602162.208113121
SA,BE,4638567.984775826,4515759.468578913
SE,BE,1284284.2685109237,1411267.4184808258
SG,BE,10573391.37598367,10587022.229030713
SI,BE,919036.125148017,966798.8900430929
SK,BE,970573.464957422,1138370.5986425763
TH,BE,9263972.765077064,9142855.09545084
TR,BE,2516265.3761930396,2737472.3646134734
TW,BE,9591221.013120415,9677958.640731955
UA,BE,1840180.3290640644,2005182.304869161
US,BE,6220992.816744275,7456955.425536193
VN,BE,8990138.004188057,9566585.558604795
ZA,BE,8840542.032905955,9254874.989239264
AE,BG,3489838.9139966504,3393739.599944321
AR,BG,11945916.18435851,12441528.929825982
AT,BG,819466.4981818323,1033471.4621679276
AU,BG,15360115.843126632,13468829.719410546
BA,BG,419869.6783119929,593808.618516013
BE,BG,1700125.488675399,1810327.3418553753
BG,BG,0,0
BH,BG,3080375.4986543884,2987819.4694883083
BR,BG,9742314.42986319,9976396.164108247
BY,BG,1287270.2684965704,1135136.4424116903
CA,BG,7379727.173079942,7378095.4402374495
CH,BG,1336911.587381813,1406920.4776599698
CL,BG,12755789.565213043,12693688.536165396
CO,BG,10271578.44559184,10282493.085696476
CZ,BG,1066986.7511007297,1072736.5092625872
DE,BG,1321314.1555459893,1443061.7439197763
DK,BG,1639357.282203174,1800146.2907009807
DZ,BG,1850568.7939968987,2586338.650297414
EE,BG,1867175.630678003,1782438.8766275204
EG,BG,1574008.1408851575,1837618.6971164627
ES,BG,2255258.240024657,2428490.9045907357
FI,BG,1949003.7750852052,2338578.2085966594
FR,BG,1759762.5462137954,1849684.9827270943
GB,BG,2015204.9824158484,2439733.006438095
GR,BG,525522.5175077061,511572.96378251904
HK,BG,8426467.596661896,NA
HR,BG,679643.7547798755,796461.5437066706
HU,BG,630941.3395421061,594030.2539256527
ID,BG,9958292.154323034,10804865.95099044
IE,BG,2474664.0389567018,2667669.1244819337
IL,BG,1605775.5386290962,1541988.6407173236
IN,BG,5030934.076935272,5452034.174482579
IQ,BG,2117498.6752304947,1996840.416482322
IT,BG,894009.1435209501,991184.932839944
JO,BG,1632688.7779357769,1652354.6951011193
JP,BG,9191715.014011169,8931239.021097897
KH,BG,8465952.63203694,8227540.125293556
KR,BG,8238413.618231476,8181966.779049002
KW,BG,2654579.8983468385,2521827.172883661
KZ,BG,3709108.5982693285,3356111.0745065883
LT,BG,1344542.7685243308,1448918.39547958
LV,BG,1590702.9551279328,1558472.87110583
MA,BG,2785325.3266492696,2898101.959006687
MK,BG,169754.3376182658,278637.98617943365
MX,BG,10955753.353649685,10906087.158700973
MY,BG,8832285.072844954,9625489.412960159
NL,BG,1745888.5040958538,1778072.8694602249
NO,BG,2098601.5715311863,2333455.6986182136
NZ,BG,17682781.833543114,17505268.775649317
OM,BG,3867693.3820687174,3848304.281445144
PE,BG,11769391.835899897,11668992.959693985
PH,BG,9531394.812098775,9593840.711464362
PK,BG,4399166.1485035345,4221334.547176252
PL,BG,1079024.3988590422,1069473.6228763466
PT,BG,2756469.563819071,2771133.1582599785
QA,BG,3217786.3965055454,3080144.1761146495
RO,BG,297618.0521716831,333958.4723798205
RS,BG,328275.37315133685,341594.44838359853
RU,BG,1780258.9711589534,5203406.380294902
SA,BG,2940175.592619874,2710025.2027026787
SE,BG,1886942.7786101697,2214991.8770653913
SG,BG,9147595.071631132,9004961.397686293
SI,BG,793726.9773233285,858183.5085332971
SK,BG,776576.7478100377,761056.9579395144
TH,BG,7946307.480257219,7674316.528636448
TR,BG,854219.4780945644,940003.720276705
TW,BG,8783547.879672047,8685241.740040908
UA,BG,1022112.2740559975,858954.9495240013
US,BG,7918913.5667668525,9211921.123140119
VN,BG,7856792.570019645,8225126.053670061
ZA,BG,7633137.1694356585,8126966.200629367
AE,BH,427133.5892216872,417408.4100291023
AR,BH,13289713.751551889,13764792.064401042
AT,BH,3845383.234054908,4021209.674713404
AU,BH,12395868.736685485,10703737.760017518
BA,BH,3496480.390798764,3564429.6597948233
BE,BH,4759334.604550392,4793549.00647968
BG,BH,3080375.4986543884,2987819.4694883083
BH,BH,0,0
BR,BH,11614399.028660128,12046988.912613316
BY,BH,3619288.139966891,3540689.841694756
CA,BH,10389786.812555915,9987534.70324531
CH,BH,4416951.880066691,4387955.595505191
CL,BH,14377920.203991085,14332087.884751797
CO,BH,13161533.011028305,13004178.580569059
CZ,BH,4065674.157125045,4025421.913748224
DE,BH,4257830.51533219,4396521.681281998
DK,BH,4479689.900642478,4651914.2146464875
DZ,BH,4614075.626715023,4686862.076496064
EE,BH,4200452.791609679,4136224.2361191013
EG,BH,1942725.9728125476,2043083.5288241014
ES,BH,5205408.144818489,5235463.787579948
FI,BH,4256264.134060602,4585199.949939696
FR,BH,4839048.042612871,4808264.040022042
GB,BH,5077727.6345787905,5409089.942770941
GR,BH,2836434.9643438277,3023587.5122485165
HK,BH,6403898.592105415,NA
HR,BH,3757502.406865459,3774264.108434644
HU,BH,3629760.150279652,3553616.8450127277
ID,BH,7055904.614290892,8239482.724571706
IE,BH,5527451.200226153,5649324.435983326
IL,BH,1616971.1804999397,1652503.3927858716
IN,BH,2640724.5631721546,2790874.332627793
IQ,BH,989558.5454523897,1001372.7145831604
IT,BH,3879754.465898565,3889221.2209343403
JO,BH,1560039.0456557758,1522220.2386830968
JP,BH,8289292.634127507,8146230.1726277135
KH,BH,5906537.859320952,5857079.208508387
KR,BH,7138793.012041114,7216950.194666073
KW,BH,435367.53111231845,474505.1888684088
KZ,BH,3293379.5829784535,2886225.705908534
LT,BH,3783763.0796764484,3961672.784214758
LV,BH,4017151.6837712745,4002463.8057626267
MA,BH,5526424.897199604,5386996.790794676
MK,BH,3182866.3942312766,3144575.6259050462
MX,BH,13994376.508644897,13829696.551945105
MY,BH,6021211.226136506,7108066.125813454
NL,BH,4776646.684111689,4739713.931558947
NO,BH,4821974.735972686,5002052.796040053
NZ,BH,14704678.640704267,14633107.90100733
OM,BH,853983.292969157,865796.5281733823
PE,BH,14349610.911585938,14144033.751850998
PH,BH,7374282.852515462,7556735.458765465
PK,BH,2317386.180977597,1964978.6619721423
PL,BH,3808788.8636601465,3861866.348626683
PT,BH,5678112.3897986235,5579118.493731488
QA,BH,137679.7295734701,93556.4720739206
RO,BH,2988466.9524195115,3171881.4324191553
RS,BH,3391001.812579674,3324103.032112768
RU,BH,3451126.4316018503,5322965.723188437
SA,BH,420531.7597552683,563664.880970431
SE,BH,4455066.665802664,4793955.412976459
SG,BH,6331529.973560962,6323851.758145035
SI,BH,3872911.3025002317,3845243.606276812
SK,BH,3792304.2973887403,3681655.1821252303
TH,BH,5370352.710325754,5272963.5683254795
TR,BH,2243187.6973203933,2056539.173135066
TW,BH,7018632.075370246,7024602.355965636
UA,BH,3192760.039551487,3019270.7888139947
US,BH,10969752.845529163,12038341.87040175
VN,BH,5624747.421429806,6009578.583789979
ZA,BH,6260592.787046816,6759095.1186076095
AE,BR,11955185.664576447,12391780.749805592
AR,BR,2342366.071876506,2825158.770940817
AT,BR,9537025.676539062,9259646.853687864
AU,BR,14072419.344316112,15992993.250886671
BA,BR,9439729.602508206,9462922.277434176
BE,BR,8984996.016198462,8827331.054575933
BG,BR,9742314.42986319,9976396.164108247
BH,BR,11614399.028660128,12046988.912613316
BR,BR,0,0
BY,BR,10513196.700776713,10442913.345193988
CA,BR,7367618.656912336,8595894.239422804
CH,BR,8898304.250537155,8877890.405702626
CL,BR,3013904.952232903,2777758.543061809
CO,BR,3671770.1352566127,2445872.2621134976
CZ,BR,9520061.542579021,9475341.801379513
DE,BR,9600814.93289049,9262242.528249165
DK,BR,9746083.636048626,9451795.343952082
DZ,BR,7922004.471795872,7537683.510347064
EE,BR,10582445.669875527,10462391.491689295
EG,BR,9888509.05605071,10033794.226400562
ES,BR,7745614.6577416165,7648379.647326266
FI,BR,10624068.707982438,10584211.169323845
FR,BR,8734265.59982376,8422414.49901869
GB,BR,8804316.742141254,8579126.437234227
GR,BR,9561863.39597524,9617409.412913185
HK,BR,18018293.69807981,NA
HR,BR,9377297.343510354,9324530.11912336
HU,BR,9677033.23529267,9719929.40633711
ID,BR,16332391.519705974,18278065.54709186
IE,BR,8661241.582548168,8304674.277904752
IL,BR,10308232.780262044,10574784.163179543
IN,BR,14254535.581280211,14776055.599811956
IQ,BR,11188616.999437725,11458238.945469277
IT,BR,8915197.213790575,9029838.574654259
JO,BR,10377963.004802633,10684358.032127861
JP,BR,17695434.0105579,16858984.93431248
KH,BR,17063888.32459989,17831119.961988587
KR,BR,17561573.977415115,17021382.263254393
KW,BR,11430980.386117594,11793484.969645247
KZ,BR,13416424.78632122,13269898.189261174
LT,BR,10408275.803257791,10266816.693806456
LV,BR,10441628.266888803,10353727.519310683
MA,BR,7047566.838713977,7078647.813904267
MK,BR,9572669.374919757,9704538.48951361
MX,BR,6841393.052334255,6301333.458844022
MY,BR,16425743.798708623,18422753.345576126
NL,BR,9123772.132600328,9025040.72810096
NO,BR,9918991.738223458,9750341.860326923
NZ,BR,12313992.524393795,12394620.556512913
OM,BR,12358129.334915567,12689762.65995919
PE,BR,3172842.608441259,2301800.5747213354
PH,BR,18836134.99142361,19569966.83328671
PK,BR,13831795.117106514,13933899.682742158
PL,BR,10039789.302935382,9890624.876487227
PT,BR,7287353.048284774,7339674.307443106
QA,BR,11687182.351500284,12119810.735554913
RO,BR,10026003.077415781,10057778.840350462
RS,BR,9639654.49939381,9694898.606954804
