lang1,lang2,wals_euclidean_dist,country_code_1,country_code_2
eng,ara,152.078448894098,GB,IQ
eng,ara,152.078448894098,GB,JO
eng,ara,152.078448894098,GB,KW
eng,ara,152.078448894098,GB,QA
eng,ara,152.078448894098,GB,SA
eng,ara,152.078448894098,IE,AE
eng,ara,152.078448894098,IE,DZ
eng,ara,152.078448894098,IE,EG
eng,ara,152.078448894098,IE,IQ
eng,ara,152.078448894098,IE,JO
eng,ara,152.078448894098,IE,KW
eng,ara,152.078448894098,IE,QA
eng,ara,152.078448894098,IE,SA
eng,ara,152.078448894098,IN,AE
eng,ara,152.078448894098,IN,DZ
eng,ara,152.078448894098,IN,EG
eng,ara,152.078448894098,IN,IQ
eng,ara,152.078448894098,IN,JO
eng,ara,152.078448894098,IN,KW
eng,ara,152.078448894098,IN,QA
eng,ara,152.078448894098,IN,SA
eng,ara,152.078448894098,NZ,AE
eng,ara,152.078448894098,NZ,DZ
eng,ara,152.078448894098,NZ,EG
eng,ara,152.078448894098,NZ,IQ
eng,ara,152.078448894098,NZ,JO
eng,ara,152.078448894098,NZ,KW
eng,ara,152.078448894098,NZ,QA
eng,ara,152.078448894098,NZ,SA
eng,ara,152.078448894098,US,AE
eng,ara,152.078448894098,US,DZ
eng,ara,152.078448894098,US,EG
eng,ara,152.078448894098,US,IQ
eng,ara,152.078448894098,US,JO
eng,ara,152.078448894098,US,KW
eng,ara,152.078448894098,US,QA
eng,ara,152.078448894098,US,SA
est,ara,63.334682253556096,EE,AE
est,ara,63.334682253556096,EE,DZ
est,ara,63.334682253556096,EE,EG
est,ara,63.334682253556096,EE,IQ
est,ara,63.334682253556096,EE,JO
est,ara,63.334682253556096,EE,KW
est,ara,63.334682253556096,EE,QA
est,ara,63.334682253556096,EE,SA
fin,ara,132.15277234603616,FI,AE
fin,ara,132.15277234603616,FI,DZ
fin,ara,132.15277234603616,FI,EG
fin,ara,132.15277234603616,FI,IQ
fin,ara,132.15277234603616,FI,JO
fin,ara,132.15277234603616,FI,KW
fin,ara,132.15277234603616,FI,QA
fin,ara,132.15277234603616,FI,SA
fre,ara,174.3368478964804,FR,AE
fre,ara,174.3368478964804,FR,DZ
fre,ara,174.3368478964804,FR,EG
fre,ara,174.3368478964804,FR,IQ
fre,ara,174.3368478964804,FR,JO
fre,ara,174.3368478964804,FR,KW
fre,ara,174.3368478964804,FR,QA
fre,ara,174.3368478964804,FR,SA
ger,ara,165.44242613033651,AT,AE
ger,ara,165.44242613033651,AT,DZ
ger,ara,165.44242613033651,AT,EG
ger,ara,165.44242613033651,AT,IQ
ger,ara,165.44242613033651,AT,JO
ger,ara,165.44242613033651,AT,KW
ger,ara,165.44242613033651,AT,QA
ger,ara,165.44242613033651,AT,SA
ger,ara,165.44242613033651,CH,AE
ger,ara,165.44242613033651,CH,DZ
ger,ara,165.44242613033651,CH,EG
ger,ara,165.44242613033651,CH,IQ
ger,ara,165.44242613033651,CH,JO
ger,ara,165.44242613033651,CH,KW
ger,ara,165.44242613033651,CH,QA
ger,ara,165.44242613033651,CH,SA
ger,ara,165.44242613033651,DE,AE
ger,ara,165.44242613033651,DE,DZ
ger,ara,165.44242613033651,DE,EG
ger,ara,165.44242613033651,DE,IQ
ger,ara,165.44242613033651,DE,JO
ger,ara,165.44242613033651,DE,KW
ger,ara,165.44242613033651,DE,QA
ger,ara,165.44242613033651,DE,SA
gre,ara,52.45839124254968,GR,AE
gre,ara,52.45839124254968,GR,DZ
gre,ara,52.45839124254968,GR,EG
gre,ara,52.45839124254968,GR,IQ
gre,ara,52.45839124254968,GR,JO
gre,ara,52.45839124254968,GR,KW
gre,ara,52.45839124254968,GR,QA
gre,ara,52.45839124254968,GR,SA
heb,ara,110.30720153889519,IL,AE
heb,ara,110.30720153889519,IL,DZ
heb,ara,110.30720153889519,IL,EG
heb,ara,110.30720153889519,IL,IQ
heb,ara,110.30720153889519,IL,JO
heb,ara,110.30720153889519,IL,KW
heb,ara,110.30720153889519,IL,QA
heb,ara,110.30720153889519,IL,SA
hun,ara,168.32520380942105,HU,AE
hun,ara,168.32520380942105,HU,DZ
hun,ara,168.32520380942105,HU,EG
hun,ara,168.32520380942105,HU,IQ
hun,ara,168.32520380942105,HU,JO
hun,ara,168.32520380942105,HU,KW
hun,ara,168.32520380942105,HU,QA
hun,ara,168.32520380942105,HU,SA
ind,ara,143.0949078739046,ID,AE
ind,ara,143.0949078739046,ID,DZ
ind,ara,143.0949078739046,ID,EG
ind,ara,143.0949078739046,ID,IQ
ind,ara,143.0949078739046,ID,JO
ind,ara,143.0949078739046,ID,KW
ind,ara,143.0949078739046,ID,QA
ind,ara,143.0949078739046,ID,SA
ita,ara,114.40480045789964,IT,AE
ita,ara,114.40480045789964,IT,DZ
ita,ara,114.40480045789964,IT,EG
ita,ara,114.40480045789964,IT,IQ
ita,ara,114.40480045789964,IT,JO
ita,ara,114.40480045789964,IT,KW
ita,ara,114.40480045789964,IT,QA
ita,ara,114.40480045789964,IT,SA
jpn,ara,146.66250983333484,JP,AE
jpn,ara,146.66250983333484,JP,DZ
jpn,ara,146.66250983333484,JP,EG
jpn,ara,146.66250983333484,JP,IQ
jpn,ara,146.66250983333484,JP,JO
jpn,ara,146.66250983333484,JP,KW
jpn,ara,146.66250983333484,JP,QA
jpn,ara,146.66250983333484,JP,SA
kaz,ara,57.24596989205542,KZ,AE
kaz,ara,57.24596989205542,KZ,DZ
kaz,ara,57.24596989205542,KZ,EG
kaz,ara,57.24596989205542,KZ,IQ
kaz,ara,57.24596989205542,KZ,JO
kaz,ara,57.24596989205542,KZ,KW
kaz,ara,57.24596989205542,KZ,QA
kaz,ara,57.24596989205542,KZ,SA
khm,ara,103.57807184217201,KH,AE
khm,ara,103.57807184217201,KH,DZ
khm,ara,103.57807184217201,KH,EG
khm,ara,103.57807184217201,KH,IQ
khm,ara,103.57807184217201,KH,JO
khm,ara,103.57807184217201,KH,KW
khm,ara,103.57807184217201,KH,QA
khm,ara,103.57807184217201,KH,SA
kor,ara,138.3248786343921,KR,AE
kor,ara,138.3248786343921,KR,DZ
kor,ara,138.3248786343921,KR,EG
kor,ara,138.3248786343921,KR,IQ
kor,ara,138.3248786343921,KR,JO
kor,ara,138.3248786343921,KR,KW
kor,ara,138.3248786343921,KR,QA
kor,ara,138.3248786343921,KR,SA
lav,ara,111.92079617044718,LV,AE
lav,ara,111.92079617044718,LV,DZ
lav,ara,111.92079617044718,LV,EG
lav,ara,111.92079617044718,LV,IQ
lav,ara,111.92079617044718,LV,JO
lav,ara,111.92079617044718,LV,KW
lav,ara,111.92079617044718,LV,QA
lav,ara,111.92079617044718,LV,SA
lit,ara,80.47353382566047,LT,AE
lit,ara,80.47353382566047,LT,DZ
lit,ara,80.47353382566047,LT,EG
lit,ara,80.47353382566047,LT,IQ
lit,ara,80.47353382566047,LT,JO
lit,ara,80.47353382566047,LT,KW
lit,ara,80.47353382566047,LT,QA
lit,ara,80.47353382566047,LT,SA
may,ara,144.46552450269857,MY,AE
may,ara,144.46552450269857,MY,DZ
may,ara,144.46552450269857,MY,EG
may,ara,144.46552450269857,MY,IQ
may,ara,144.46552450269857,MY,JO
may,ara,144.46552450269857,MY,KW
may,ara,144.46552450269857,MY,QA
may,ara,144.46552450269857,MY,SA
nor,ara,73.84274830422328,NO,AE
nor,ara,73.84274830422328,NO,DZ
nor,ara,73.84274830422328,NO,EG
nor,ara,73.84274830422328,NO,IQ
nor,ara,73.84274830422328,NO,JO
nor,ara,73.84274830422328,NO,KW
nor,ara,73.84274830422328,NO,QA
nor,ara,73.84274830422328,NO,SA
pol,ara,74.77876286100104,PL,AE
pol,ara,74.77876286100104,PL,DZ
pol,ara,74.77876286100104,PL,EG
pol,ara,74.77876286100104,PL,IQ
pol,ara,74.77876286100104,PL,JO
pol,ara,74.77876286100104,PL,KW
pol,ara,74.77876286100104,PL,QA
pol,ara,74.77876286100104,PL,SA
por,ara,83.89070340261382,BR,AE
por,ara,83.89070340261382,BR,DZ
por,ara,83.89070340261382,BR,EG
por,ara,83.89070340261382,BR,IQ
por,ara,83.89070340261382,BR,JO
por,ara,83.89070340261382,BR,KW
por,ara,83.89070340261382,BR,QA
por,ara,83.89070340261382,BR,SA
por,ara,83.89070340261382,PT,AE
por,ara,83.89070340261382,PT,DZ
por,ara,83.89070340261382,PT,EG
por,ara,83.89070340261382,PT,IQ
por,ara,83.89070340261382,PT,JO
por,ara,83.89070340261382,PT,KW
por,ara,83.89070340261382,PT,QA
por,ara,83.89070340261382,PT,SA
rum,ara,54.565906357419294,RO,AE
rum,ara,54.565906357419294,RO,DZ
rum,ara,54.565906357419294,RO,EG
rum,ara,54.565906357419294,RO,IQ
rum,ara,54.565906357419294,RO,JO
rum,ara,54.565906357419294,RO,KW
rum,ara,54.565906357419294,RO,QA
rum,ara,54.565906357419294,RO,SA
rus,ara,152.73690013597516,RU,AE
rus,ara,152.73690013597516,RU,DZ
rus,ara,152.73690013597516,RU,EG
rus,ara,152.73690013597516,RU,IQ
rus,ara,152.73690013597516,RU,JO
rus,ara,152.73690013597516,RU,KW
rus,ara,152.73690013597516,RU,QA
rus,ara,152.73690013597516,RU,SA
slo,ara,59.15953129911947,SK,AE
slo,ara,59.15953129911947,SK,DZ
slo,ara,59.15953129911947,SK,EG
slo,ara,59.15953129911947,SK,IQ
slo,ara,59.15953129911947,SK,JO
slo,ara,59.15953129911947,SK,KW
slo,ara,59.15953129911947,SK,QA
slo,ara,59.15953129911947,SK,SA
slv,ara,52.30520879692481,SI,AE
slv,ara,52.30520879692481,SI,DZ
slv,ara,52.30520879692481,SI,EG
slv,ara,52.30520879692481,SI,IQ
slv,ara,52.30520879692481,SI,JO
slv,ara,52.30520879692481,SI,KW
slv,ara,52.30520879692481,SI,QA
slv,ara,52.30520879692481,SI,SA
spa,ara,165.85174056075564,AR,AE
spa,ara,165.85174056075564,AR,DZ
spa,ara,165.85174056075564,AR,EG
spa,ara,165.85174056075564,AR,IQ
spa,ara,165.85174056075564,AR,JO
spa,ara,165.85174056075564,AR,KW
spa,ara,165.85174056075564,AR,QA
spa,ara,165.85174056075564,AR,SA
spa,ara,165.85174056075564,CL,AE
spa,ara,165.85174056075564,CL,DZ
spa,ara,165.85174056075564,CL,EG
spa,ara,165.85174056075564,CL,IQ
spa,ara,165.85174056075564,CL,JO
spa,ara,165.85174056075564,CL,KW
spa,ara,165.85174056075564,CL,QA
spa,ara,165.85174056075564,CL,SA
spa,ara,165.85174056075564,CO,AE
spa,ara,165.85174056075564,CO,DZ
spa,ara,165.85174056075564,CO,EG
spa,ara,165.85174056075564,CO,IQ
spa,ara,165.85174056075564,CO,JO
spa,ara,165.85174056075564,CO,KW
spa,ara,165.85174056075564,CO,QA
spa,ara,165.85174056075564,CO,SA
spa,ara,165.85174056075564,ES,AE
spa,ara,165.85174056075564,ES,DZ
spa,ara,165.85174056075564,ES,EG
spa,ara,165.85174056075564,ES,IQ
spa,ara,165.85174056075564,ES,JO
spa,ara,165.85174056075564,ES,KW
spa,ara,165.85174056075564,ES,QA
spa,ara,165.85174056075564,ES,SA
spa,ara,165.85174056075564,MX,AE
spa,ara,165.85174056075564,MX,DZ
spa,ara,165.85174056075564,MX,EG
spa,ara,165.85174056075564,MX,IQ
spa,ara,165.85174056075564,MX,JO
spa,ara,165.85174056075564,MX,KW
spa,ara,165.85174056075564,MX,QA
spa,ara,165.85174056075564,MX,SA
srb,ara,52.888219317555304,HR,AE
srb,ara,52.888219317555304,HR,DZ
srb,ara,52.888219317555304,HR,EG
srb,ara,52.888219317555304,HR,IQ
srb,ara,52.888219317555304,HR,JO
srb,ara,52.888219317555304,HR,KW
srb,ara,52.888219317555304,HR,QA
srb,ara,52.888219317555304,HR,SA
srb,ara,52.888219317555304,RS,AE
srb,ara,52.888219317555304,RS,DZ
srb,ara,52.888219317555304,RS,EG
srb,ara,52.888219317555304,RS,IQ
srb,ara,52.888219317555304,RS,JO
srb,ara,52.888219317555304,RS,KW
srb,ara,52.888219317555304,RS,QA
srb,ara,52.888219317555304,RS,SA
swe,ara,94.30056310142274,SE,AE
swe,ara,94.30056310142274,SE,DZ
swe,ara,94.30056310142274,SE,EG
swe,ara,94.30056310142274,SE,IQ
swe,ara,94.30056310142274,SE,JO
swe,ara,94.30056310142274,SE,KW
swe,ara,94.30056310142274,SE,QA
swe,ara,94.30056310142274,SE,SA
tgl,ara,97.33329599679071,PH,AE
tgl,ara,97.33329599679071,PH,DZ
tgl,ara,97.33329599679071,PH,EG
tgl,ara,97.33329599679071,PH,IQ
tgl,ara,97.33329599679071,PH,JO
tgl,ara,97.33329599679071,PH,KW
tgl,ara,97.33329599679071,PH,QA
tgl,ara,97.33329599679071,PH,SA
tha,ara,145.51025045602623,TH,AE
tha,ara,145.51025045602623,TH,DZ
tha,ara,145.51025045602623,TH,EG
tha,ara,145.51025045602623,TH,IQ
tha,ara,145.51025045602623,TH,JO
tha,ara,145.51025045602623,TH,KW
tha,ara,145.51025045602623,TH,QA
tha,ara,145.51025045602623,TH,SA
tur,ara,126.90220649508589,TR,AE
tur,ara,126.90220649508589,TR,DZ
tur,ara,126.90220649508589,TR,EG
tur,ara,126.90220649508589,TR,IQ
tur,ara,126.90220649508589,TR,JO
tur,ara,126.90220649508589,TR,KW
tur,ara,126.90220649508589,TR,QA
tur,ara,126.90220649508589,TR,SA
ukr,ara,62.05913499064701,UA,AE
ukr,ara,62.05913499064701,UA,DZ
ukr,ara,62.05913499064701,UA,EG
ukr,ara,62.05913499064701,UA,IQ
ukr,ara,62.05913499064701,UA,JO
ukr,ara,62.05913499064701,UA,KW
ukr,ara,62.05913499064701,UA,QA
ukr,ara,62.05913499064701,UA,SA
urd,ara,59.356805555011704,PK,AE
urd,ara,59.356805555011704,PK,DZ
urd,ara,59.356805555011704,PK,EG
urd,ara,59.356805555011704,PK,IQ
urd,ara,59.356805555011704,PK,JO
urd,ara,59.356805555011704,PK,KW
urd,ara,59.356805555011704,PK,QA
urd,ara,59.356805555011704,PK,SA
vie,ara,140.86769928478245,VN,AE
vie,ara,140.86769928478245,VN,DZ
vie,ara,140.86769928478245,VN,EG
vie,ara,140.86769928478245,VN,IQ
vie,ara,140.86769928478245,VN,JO
vie,ara,140.86769928478245,VN,KW
vie,ara,140.86769928478245,VN,QA
vie,ara,140.86769928478245,VN,SA
zul,ara,135.53318191709795,ZA,AE
zul,ara,135.53318191709795,ZA,DZ
zul,ara,135.53318191709795,ZA,EG
zul,ara,135.53318191709795,ZA,IQ
zul,ara,135.53318191709795,ZA,JO
zul,ara,135.53318191709795,ZA,KW
zul,ara,135.53318191709795,ZA,QA
zul,ara,135.53318191709795,ZA,SA
ara,bel,137.03880067877847,AE,BY
ara,bel,137.03880067877847,DZ,BY
ara,bel,137.03880067877847,EG,BY
ara,bel,137.03880067877847,IQ,BY
ara,bel,137.03880067877847,JO,BY
ara,bel,137.03880067877847,KW,BY
ara,bel,137.03880067877847,QA,BY
ara,bel,137.03880067877847,SA,BY
bel,bel,0,BY,BY
bul,bel,168.93767434410213,BG,BY
chi,bel,92.66090864383875,HK,BY
chi,bel,92.66090864383875,TW,BY
cmn,bel,178.71232808893086,SG,BY
cze,bel,133.11624058501118,CZ,BY
dan,bel,163.71958579329842,DK,BY
dut,bel,151.57285538369385,BE,BY
dut,bel,151.57285538369385,NL,BY
eng,bel,194.1888537781997,AU,BY
eng,bel,194.1888537781997,CA,BY
eng,bel,194.1888537781997,GB,BY
eng,bel,194.1888537781997,IE,BY
eng,bel,194.1888537781997,IN,BY
eng,bel,194.1888537781997,NZ,BY
eng,bel,194.1888537781997,US,BY
est,bel,135.16025043274738,EE,BY
fin,bel,177.6337118897104,FI,BY
fre,bel,211.74243630194394,FR,BY
ger,bel,204.40071969630586,AT,BY
ger,bel,204.40071969630586,CH,BY
ger,bel,204.40071969630586,DE,BY
gre,bel,130.34435726993183,GR,BY
heb,bel,169.53735194535543,IL,BY
hun,bel,212.2453672290939,HU,BY
ind,bel,183.26309164819932,ID,BY
ita,bel,172.1059538048915,IT,BY
jpn,bel,167.10973007574452,JP,BY
kaz,bel,132.3437559132932,KZ,BY
khm,bel,156.3766610642335,KH,BY
kor,bel,156.9583487211888,KR,BY
lav,bel,166.55643563104553,LV,BY
lit,bel,143.97311711206237,LT,BY
may,bel,189.67748484098541,MY,BY
nor,bel,141.05808383782394,NO,BY
pol,bel,142.6459962062384,PL,BY
por,bel,146.13897468810703,BR,BY
por,bel,146.13897468810703,PT,BY
rum,bel,130.91745123346473,RO,BY
rus,bel,192.8815161417386,RU,BY
slo,bel,133.2689100082418,SK,BY
slv,bel,130.28278292869368,SI,BY
spa,bel,204.3991304513062,AR,BY
spa,bel,204.3991304513062,CL,BY
spa,bel,204.3991304513062,CO,BY
spa,bel,204.3991304513062,ES,BY
spa,bel,204.3991304513062,MX,BY
srb,bel,130.4612153975136,HR,BY
srb,bel,130.4612153975136,RS,BY
swe,bel,152.8453984389459,SE,BY
tgl,bel,105.50606893130032,PH,BY
tha,bel,187.6970713784028,TH,BY
tur,bel,174.9658673766645,TR,BY
ukr,bel,134.48715970067462,UA,BY
urd,bel,134.0820374153441,PK,BY
vie,bel,182.62051271973053,VN,BY
zul,bel,179.82853792889912,ZA,BY
ara,bul,111.1026853728223,AE,BG
ara,bul,111.1026853728223,DZ,BG
ara,bul,111.1026853728223,EG,BG
ara,bul,111.1026853728223,IQ,BG
ara,bul,111.1026853728223,JO,BG
ara,bul,111.1026853728223,KW,BG
ara,bul,111.1026853728223,QA,BG
ara,bul,111.1026853728223,SA,BG
bel,bul,168.93767434410213,BY,BG
bul,bul,0,BG,BG
chi,bul,146.98494739542554,HK,BG
chi,bul,146.98494739542554,TW,BG
cmn,bul,155.014293122935,SG,BG
cze,bul,96.37863024626672,CZ,BG
dan,bul,140.6504708129605,DK,BG
dut,bul,115.52665005648544,BE,BG
dut,bul,115.52665005648544,NL,BG
eng,bul,143.1037256022776,AU,BG
eng,bul,143.1037256022776,CA,BG
eng,bul,143.1037256022776,GB,BG
eng,bul,143.1037256022776,IE,BG
eng,bul,143.1037256022776,IN,BG
eng,bul,143.1037256022776,NZ,BG
eng,bul,143.1037256022776,US,BG
est,bul,99.7133501008843,EE,BG
fin,bul,108.87523249477361,FI,BG
fre,bul,160.01083147295572,FR,BG
ger,bul,147.10839745577275,AT,BG
ger,bul,147.10839745577275,CH,BG
ger,bul,147.10839745577275,DE,BG
gre,bul,99.75724302981995,GR,BG
heb,bul,119.03480169057235,IL,BG
hun,bul,153.24201751679274,HU,BG
ind,bul,167.15155111792592,ID,BG
ita,bul,95.91707313991455,IT,BG
jpn,bul,174.56822572995108,JP,BG
kaz,bul,102.82515966841646,KZ,BG
khm,bul,131.00632403810067,KH,BG
kor,bul,163.78215772410226,KR,BG
lav,bul,119.43758108373346,LV,BG
lit,bul,106.21426463246043,LT,BG
may,bul,175.55114784662524,MY,BG
nor,bul,111.10906393585151,NO,BG
pol,bul,100.81621648954061,PL,BG
por,bul,113.02719854789927,BR,BG
por,bul,113.02719854789927,PT,BG
rum,bul,100.95895432160198,RO,BG
rus,bul,123.95096233172488,RU,BG
slo,bul,100.3892120603351,SK,BG
slv,bul,99.8376456121491,SI,BG
spa,bul,156.8638769895623,AR,BG
spa,bul,156.8638769895623,CL,BG
spa,bul,156.8638769895623,CO,BG
spa,bul,156.8638769895623,ES,BG
spa,bul,156.8638769895623,MX,BG
srb,bul,100.16198585256186,HR,BG
srb,bul,100.16198585256186,RS,BG
swe,bul,114.66553102239561,SE,BG
tgl,bul,129.29860253282752,PH,BG
tha,bul,166.34523001990092,TH,BG
tur,bul,136.3215112303404,TR,BG
ukr,bul,99.80339463959928,UA,BG
urd,bul,103.90052976694793,PK,BG
vie,bul,164.98889180257362,VN,BG
zul,bul,155.32431064008833,ZA,BG
ara,chi,118.75036110108505,AE,HK
ara,chi,118.75036110108505,AE,TW
ara,chi,118.75036110108505,DZ,HK
ara,chi,118.75036110108505,DZ,TW
ara,chi,118.75036110108505,EG,HK
ara,chi,118.75036110108505,EG,TW
ara,chi,118.75036110108505,IQ,HK
ara,chi,118.75036110108505,IQ,TW
ara,chi,118.75036110108505,JO,HK
ara,chi,118.75036110108505,JO,TW
ara,chi,118.75036110108505,KW,HK
ara,chi,118.75036110108505,KW,TW
ara,chi,118.75036110108505,QA,HK
ara,chi,118.75036110108505,QA,TW
ara,chi,118.75036110108505,SA,HK
ara,chi,118.75036110108505,SA,TW
bel,chi,92.66090864383875,BY,HK
bel,chi,92.66090864383875,BY,TW
bul,chi,146.98494739542554,BG,HK
bul,chi,146.98494739542554,BG,TW
chi,chi,0,HK,HK
chi,chi,0,HK,TW
chi,chi,0,TW,HK
chi,chi,0,TW,TW
cmn,chi,163.03181720723722,SG,HK
cmn,chi,163.03181720723722,SG,TW
cze,chi,111.26888357096638,CZ,HK
